name,RA,DEC,Period,T1,T1error,incl,inclerror,q,qerror,f,ferror,t2t1,t2t1error,l3,l3error,r1,r1error,r2,r2error,l2/l1,l2/l1error,R2
TIC 167338355,98.34559,-70.124808,0.2884101333786241,5013.3773022904215,126.06230594037515,89.47791481173822,0.5112046156034761,2.184646265869185,0.0255858117948717,0.0797858056781308,0.0079433247335554,0.9377939981358016,0.0023150775650416,0.0,0.0,0.3192559833026032,0.0003946101824458,0.4553474796086507,0.0015671580625277,1.5365445670595614,0.0481968071178275,0.9953508087536438
TIC 141179506,180.388112133792,43.04164913501,0.3788819247834135,6518.700674147207,124.05894171625226,47.98894623922464,0.2694737345243575,3.2737213689763296,0.1399212918181747,0.2987049742342016,0.0125806667322622,0.8726513518626617,0.003933847774569,0.0,0.0,0.3002516542113494,0.0028161217253995,0.5029364981154184,0.0041294462859897,1.8012410574522355,0.1078372798466064,0.9958728975262272
TIC 293619461,59.713154,-51.175823,0.3105294422670961,6434.9970841331215,34.790655279342985,89.96766413275847,0.0377180405663679,0.2748951383450291,0.0009917734560143,0.922383816359024,0.0037831504660242,1.039693623574938,0.0005707536244221,0.0,0.0,0.5475053183043197,3.1002432981985795e-05,0.3335721380547784,0.0006870076869814,0.4023043225727731,0.0015147252405211,0.9980949402932764
TIC 2939367,82.0403846722967,35.2816704334148,1.6303354255358635,6801.146871123366,134.13952367351203,84.24655347999276,1.3181548796697458,0.6489992862139125,0.1165009162155091,0.1170609405305312,0.0182655290458054,0.9382754620258584,0.0040418432078479,0.4954964233918452,0.0048070201625452,0.4278338131045238,0.0140963312814119,0.3521887776424857,0.0175151034685165,0.5542762532422203,0.0996750484381855,0.997000408866868
TIC 394896142,203.105250562448,-74.6099526232511,0.7388192373950762,6454.817595340326,93.51710468082834,57.87077880076152,0.3373206962571595,0.1793035655806872,0.0150587928045884,0.1057571327829418,0.0169693038342596,0.9716725594725384,0.0031835865799301,0.0,0.0,0.5369190143294608,0.0062390373973525,0.24809898241907,0.0068005991524584,0.1940833864416955,0.0173394631921844,0.9987148708539386
TIC 429973546,96.0032147619053,20.4702535808924,0.3505423667649179,6060.316243862295,87.18284042680266,71.24620089003025,0.2261026129494991,0.2397491798665319,0.0067062847755659,0.2163745218225929,0.0061712845793431,1.0132086156653144,0.0008700343777575,0.0,0.0,0.5180604170404282,0.001971911206096,0.2755649024310443,0.00254216474486,0.2943884516180027,0.0083407803075475,0.9962003730254344
TIC 431481388,49.3603730949202,-75.7699032688951,0.3651221933438869,5282.569476522286,141.3749379351794,64.93617975446543,0.4702274654695265,2.2042216426565537,0.4498433968423327,0.092451683990673,0.0222098022049976,0.943519895821432,0.0072818484551787,0.0,0.0,0.31943870169061,0.0157256846989376,0.4569897879067679,0.0195489986144827,1.6209491786615136,0.3628197638150496,0.9925840696546684
TIC 461597238,8.76784445846283,84.9888762000598,0.8912656842626158,9865.50144239022,127.00581254471813,44.7384752938769,1.048683322472102,2.4196210105317464,0.2597700946709986,0.5492363153198214,0.0526900243668019,0.8299593396877293,0.0076882615667303,0.3581060281648552,0.0493547474802457,0.3456397740925471,0.0063538828248391,0.4964663163351477,0.0113881121843493,1.417294315801162,0.1685650674412409,0.9980756967371138
TIC 140627676,70.6926737912122,72.9783000547868,0.49820654226889,7610.701501265107,59.59560235404327,75.70633853535936,0.2081416898738325,3.090967464099039,0.0722080744865791,0.5211495260495196,0.0128330212387108,0.9585975070958336,0.0012964988481237,0.0,0.0,0.3201756368475744,0.0012739023791282,0.5119414405517357,0.0024815694235146,2.3374495290304496,0.0528557806612128,0.997643020190502
TIC 115412010,252.064720918832,44.7413104172255,0.3018843673947899,5115.86129989183,153.8236877205723,73.44354342785365,0.1964346810991851,4.542991557402494,0.0858386850803651,0.1318575051745514,0.0127809025079448,0.904887913563912,0.0032314740112573,0.0,0.0,0.2644024872162876,0.0007374175372881,0.5210647883296162,0.0021619280533088,2.512422480973301,0.1308429150010059,0.996563903269834
